Helyrajziszam,Telepules,Tombazonosito,Qt_vil_cs,Qt_vil_real_cs,Qt_el_real_cs,Qt_el_cs_real_cs,Qt_ga_real_cs,Qt_ol_real_cs,Qt_sz_real_cs,Qt_bm_real_cs,Qt_th_real_cs,Dt,Qt_el_real,Qt_el_cs_real,Qt_ga_real,Qt_ol_real,Qt_sz_real,Qt_bm_real,Qt_th_real,Qt_vil,Qt_vil_real,deltaQt,TFCO2_t,TFCO2_t_cs,Dt_cs,Tt_t,Tt_e,adat_t,Et_vil_e_cs,Et_vil_t_cs,Et_vil_real_e_cs,Et_vil_real_t_cs,Et_vil_e,Et_vil_t,Et_vil_real_e,Et_vil_real_t,deltaEt_e,deltaEt_t,deltaTFCO2_t,pott
HUN_Szarvaskő_173/6,Szarvaskő,Szarvaskő_016,,,,,,,,,,,,,,,,,,,,,,,,4907.175205,,,,,,,,,,,,,,
HUN_Szarvaskő_173/7,Szarvaskő,Szarvaskő_016,,,,,,,,,,,,,,,,,,,,,,,,897.9599999,,,,,,,,,,,,,,
HUN_Szarvaskő_174,Szarvaskő,,,,,,,,,,,,,,,,,,,,,,,,,6047.264505,,,,,,,,,,,,,,
HUN_Szarvaskő_175,Szarvaskő,Szarvaskő_017,,,,,,,,,,,,,,,,,,,,,,,,1750.37,,,,,,,,,,,,,,
HUN_Szarvaskő_176,Szarvaskő,Szarvaskő_017,,,,,,,,,,,,,,,,,,,,,,,,1776.96,,,,,,,,,,,,,,
HUN_Szarvaskő_177,Szarvaskő,Szarvaskő_017,,,,,,,,,,,,,,,,,,,,,,,,1544.2,,,,,,,,,,,,,,
HUN_Szarvaskő_179,Szarvaskő,Szarvaskő_017,,,,,,,,,,,,,,,,,,,,,,,,1882.975,,,,,,,,,,,,,,
HUN_Szarvaskő_18,Szarvaskő,Szarvaskő_007,,,,,,,,,,,,,,,,,,,,,,,,819.2,,,,,,,,,,,,,,
HUN_Szarvaskő_180,Szarvaskő,Szarvaskő_017,,,,,,,,,,,,,,,,,,,,,,,,1855.575,,,,,,,,,,,,,,
HUN_Szarvaskő_181,Szarvaskő,Szarvaskő_017,,,,,,,,,,,,,,,,,,,,,,,,2061.935,,,,,,,,,,,,,,
HUN_Szarvaskő_182,Szarvaskő,Szarvaskő_017,,,,,,,,,,,,,,,,,,,,,,,,3443.955,,,,,,,,,,,,,,
