OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Fekves,Helyrajziszam_teljes,Helyrajziszam_egyedi,Muvelesiag,Utcanev,Utcanev_telek,Kozut_szama,Vasut_szama,Hazszam_telek,Vedett_terulet_nev,Vedett_terulet_kategoria,Natura2000_SCI_kod,Natura2000_SCI_nev,Natura2000_SPA_kod,Natura2000_SPA_nev,Dulo_OEM_borvidek_nev,Dulo_OEM_kod,Dulo_OEM_nev,Epuletenergetikai_tombazonosito,Tortenelmi_varosresz_nev_modositott,Iranyitoszam,KSH_korzet,Postacim_rovid,Shape_Length,Shape_Area
91961,Magyarország,Szarvaskő,,,zártkert,524/3,HUN_Szarvaskő_524/3,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,109.71555994935079,735.3049999658763
91962,Magyarország,Szarvaskő,,,zártkert,524/4,HUN_Szarvaskő_524/4,művelés alól kivett,Csehi utca,,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,102.67520119670625,138.8900000410527
91963,Magyarország,Szarvaskő,,,zártkert,525/1,HUN_Szarvaskő_525/1,szántó,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,118.58843347903715,815.9350000181794
91964,Magyarország,Szarvaskő,,,zártkert,525/2,HUN_Szarvaskő_525/2,szántó,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,118.95237317926441,817.2650000179559
91965,Magyarország,Szarvaskő,,,zártkert,526,HUN_Szarvaskő_526,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,146.89906906644094,1067.394999932237
91966,Magyarország,Szarvaskő,,,zártkert,527,HUN_Szarvaskő_527,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,123.59727707654727,914.9250000882894
91967,Magyarország,Szarvaskő,,,zártkert,528,HUN_Szarvaskő_528,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,203.3168674184096,1017.1799998965862
91968,Magyarország,Szarvaskő,,,zártkert,529,HUN_Szarvaskő_529,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,202.4630418993831,821.5000000800939
91969,Magyarország,Szarvaskő,,,zártkert,530,HUN_Szarvaskő_530,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,202.6255651792361,944.0199998866021
91970,Magyarország,Szarvaskő,,,zártkert,531,HUN_Szarvaskő_531,kert,,Csehi utca,,,,,,,,HUBN10003,Bükk-hegység és peremterületei,,,,,,3323,Szarvaskő,,235.19633289713124,1153.4850001552702
