OBJECTID,Orszag_nev,Telepules_nev,Telepulesresz_nev,Tortenelmi_varosresz_nev,Fekves,Epulettipus,Epulet_altipus,Funkcio,Intezmenynev,Hazszam,Epulet_betujel,Helyrajziszam_teljes_epulet,Helyrajziszam_egyedi_epulet,Utcanev_epulet,Muemlek_nev,Muemlek_tipus,Muemlek_torzsszam,Epuletenergetikai_tipus,Epuletenergetikai_szintszam,Epuletenergetikai_tombazonosito,Aga_est,Abm_est,Ath_est,Ael_est,Aelcs_est,Asz_est,Aol_est,Tn_Tbr,E0,Evil,Ee_cs,Evil_cs,Tbr,Ter,Muemleki_vedettseg,Tortenelmi_varosresz_nev_modositott,Iranyitoszam,KSH_korzet,Epulet_azonosito,Hazszam_epulettomb,Epulet_szamozas_egyeb,Postacim_epulet,Shape_Length,Shape_Area
63733,Magyarország,Szarvaskő,,,zártkert,gazdasági- és melléképület,,,,,,814,HUN_Szarvaskő_814,Barátkert sportpálya,,,,,,,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00290,,,,27.653090345914165,32.980000015608965
63734,Magyarország,Szarvaskő,,,zártkert,gazdasági- és melléképület,,,,,,814,HUN_Szarvaskő_814,Barátkert sportpálya,,,,,,,,,,,,,,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00291,,,,48.41106110726343,133.24999999254942
63735,Magyarország,Szarvaskő,,,belterület,lakóépület,,egészségház,,,,67,HUN_Szarvaskő_67,II. Rákóczi Ferenc utca,,,,L1,1,Szarvaskő_013,0.5,0.5,0,0,0,0,0,0.75,450,10,120,8,161.59499997265635,121.19624997949226,nem,,3323,Szarvaskő,Szarvaskő_00292,,,,60.68929716412782,161.59499997265635
63736,Magyarország,Szarvaskő,,,belterület,középület,,,,,,68,HUN_Szarvaskő_68,II. Rákóczi Ferenc utca,Templom (Keresztelő Szent János születése),műemlék,2150,,1,Szarvaskő_013,0.5,0.5,0,0,0,0,0,,,,,,164.8949999976158,,igen,,3323,Szarvaskő,Szarvaskő_00293,,,,57.63069184068014,164.8949999976158
63737,Magyarország,Szarvaskő,,,belterület,középület,,községi polgármesteri hivatal,,1,,66,HUN_Szarvaskő_66,II. Rákóczi Ferenc utca,,,,K9,1,Szarvaskő_013,0.5,0.5,0,0,0,0,0,0.75,230,9,60,7.2,149.1649999937415,111.87374999530613,nem,,3323,Szarvaskő,Szarvaskő_00294,,,"Szarvaskő, II. Rákóczi Ferenc utca 1",53.37893817016328,149.1649999937415
63738,Magyarország,Szarvaskő,,,belterület,középület,,könyvtár,,2,,63,HUN_Szarvaskő_63,Iskola utca,,,,K9,1,Szarvaskő_010,0.5,0.5,0,0,0,0,0,0.75,230,9,60,7.2,333.6699999992922,250.25249999946914,nem,,3323,Szarvaskő,Szarvaskő_00295,,,"Szarvaskő, Iskola utca 2",100.62469984053216,333.6699999992922
63739,Magyarország,Szarvaskő,,,belterület,középület,,,,2,,63,HUN_Szarvaskő_63,Iskola utca,,,,K3,1,Szarvaskő_010,0.5,0.5,0,0,0,0,0,0.75,250,19.25,110,15.4,58.63499999713153,43.97624999784865,nem,,3323,Szarvaskő,Szarvaskő_00296,,,"Szarvaskő, Iskola utca 2",32.25956296790101,58.63499999713153
63740,Magyarország,Szarvaskő,,,belterület,középület,,,,,,147,HUN_Szarvaskő_147,Fő utca,,,,K7,1.8,Szarvaskő_006,0.5,0.5,0,0,0,0,0,0.75,230,19.25,150,15.4,189.3240000116676,141.9930000087507,nem,,3323,Szarvaskő,Szarvaskő_00297,,,,45.118733478352844,105.180000006482
63741,Magyarország,Szarvaskő,,,külterület,középület,,,,,,0120,HUN_Szarvaskő_0120,,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00298,,,,71.61876959053758,177.034999986887
63742,Magyarország,Szarvaskő,,,külterület,középület,,,,,,0120,HUN_Szarvaskő_0120,,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00299,,,,82.22546105903615,296.0349999518693
63743,Magyarország,Szarvaskő,,,külterület,középület,,,,,,0120,HUN_Szarvaskő_0120,,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00300,,,,60.29778606563043,119.13999999411404
63744,Magyarország,Szarvaskő,,,zártkert,középület,,,,,,810/2,HUN_Szarvaskő_810/2,Barátkert sportpálya,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00301,,,,79.04297064122436,274.47500002440063
63745,Magyarország,Szarvaskő,,,zártkert,középület,,,,,,810/1,HUN_Szarvaskő_810/1,Barátkert sportpálya,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00302,,,,105.00000000745058,473.54000008277603
63746,Magyarország,Szarvaskő,,,zártkert,középület,,,,,,810/1,HUN_Szarvaskő_810/1,Barátkert sportpálya,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00303,,,,145.03405993368833,565.9799999763072
63747,Magyarország,Szarvaskő,,,zártkert,középület,,,,,,810/1,HUN_Szarvaskő_810/1,Barátkert sportpálya,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00304,,,,27.722145245271737,45.22000001437962
63748,Magyarország,Szarvaskő,,,külterület,lakóépület,,,,,,035,HUN_Szarvaskő_035,Újszarvaskői utca,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00305,,,,50.42264615184809,119.12499999441206
63749,Magyarország,Szarvaskő,,,külterület,lakóépület,,,,,,035,HUN_Szarvaskő_035,Újszarvaskői utca,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00306,,,,107.04523633619925,478.48499990716573
63750,Magyarország,Szarvaskő,,,zártkert,lakóépület,,,,,,505,HUN_Szarvaskő_505,Nyugodó utca,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00307,,,,38.96336760553579,80.56000001128763
63751,Magyarország,Szarvaskő,,,zártkert,lakóépület,,,,,,508,HUN_Szarvaskő_508,Nyugodó utca,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00308,,,,37.68313413110586,80.76499999038876
63752,Magyarország,Szarvaskő,,,zártkert,lakóépület,,,,,,512,HUN_Szarvaskő_512,Nyugodó utca,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00309,,,,35.95630589220373,66.16000000663101
63753,Magyarország,Szarvaskő,,,zártkert,lakóépület,,,,,,510/5,HUN_Szarvaskő_510/5,Nyugodó utca,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00310,,,,31.89294378512701,58.16500000007451
63754,Magyarország,Szarvaskő,,,zártkert,lakóépület,,,,,,510/6,HUN_Szarvaskő_510/6,Nyugodó utca,,,,,,,0.5,0.5,0,0,0,0,0,,,,,,,,nem,,3323,Szarvaskő,Szarvaskő_00311,,,,30.870747642308118,57.65000001061708
