OBJECTID;Orszag_nev;Telepules_nev;Telepulesresz_nev;Tortenelmi_varosresz_nev;Fekves;Epulettipus;Epulet_altipus;Funkcio;Intezmenynev;Hazszam;Epulet_betujel;Helyrajziszam_teljes_epulet;Helyrajziszam_egyedi_epulet;Utcanev_epulet;Muemlek_nev;Muemlek_tipus;Muemlek_torzsszam;Epuletenergetikai_tipus;Epuletenergetikai_szintszam;Epuletenergetikai_tombazonosito;Aga_est;Abm_est;Ath_est;Ael_est;Aelcs_est;Asz_est;Aol_est;Tn_Tbr;E0;Evil;Ee_cs;Evil_cs;Tbr;Ter;Muemleki_vedettseg;Tortenelmi_varosresz_nev_modositott;Iranyitoszam;KSH_korzet;Epulet_azonosito;Hazszam_epulettomb;Epulet_szamozas_egyeb;Postacim_epulet;Shape_Length;Shape_Area
63768;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;25;;219;HUN_Szarvaskő_219;Rózsa utca;;;;L3;1,000000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;330,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;71,420000000596048;53,565000000447036;nem;;3323;Szarvaskő;Szarvaskő_00325;;;Szarvaskő, Rózsa utca 25;34,372522755315771;71,420000000596048
63769;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;22;;244;HUN_Szarvaskő_244;Rózsa utca;;;;L4;1,500000000000000;Szarvaskő_023;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;220,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;95,797500013802193;71,848125010351652;nem;;3323;Szarvaskő;Szarvaskő_00326;;;Szarvaskő, Rózsa utca 22;34,175999857662390;63,865000009201466
63770;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;35;;275;HUN_Szarvaskő_275;Rózsa utca;;;;L1;1,500000000000000;Szarvaskő_024;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;450,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;106,770000009443610;80,077500007082705;nem;;3323;Szarvaskő;Szarvaskő_00327;;;Szarvaskő, Rózsa utca 35;35,176364950639446;71,180000006295742
63771;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;;;215;HUN_Szarvaskő_215;Tölgyfa utca;;;;;;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;;;;;;;;nem;;3323;Szarvaskő;Szarvaskő_00328;;;;45,638227031675093;55,214999992623923
63772;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;28;;247;HUN_Szarvaskő_247;Rózsa utca;;;;L4;1,800000000000000;Szarvaskő_023;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;220,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;103,140000018104910;77,355000013578689;nem;;3323;Szarvaskő;Szarvaskő_00329;;;Szarvaskő, Rózsa utca 28;31,133261079070287;57,300000010058284
63773;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;;;215;HUN_Szarvaskő_215;Tölgyfa utca;;;;;;Szarvaskő_021;;;;;;;;;;;;;;;nem;;3323;Szarvaskő;Szarvaskő_00330;;;;16,091307924953142;15,700000004842877
63774;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;25;;215;HUN_Szarvaskő_215;Tölgyfa utca;;;;L1;1,000000000000000;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;450,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;107,565000004731120;80,673750003548335;nem;;3323;Szarvaskő;Szarvaskő_00331;;;Szarvaskő, Tölgyfa utca 25;43,917563825823969;107,565000004731120
63775;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;;;215;HUN_Szarvaskő_215;Tölgyfa utca;;;;;;Szarvaskő_021;;;;;;;;;;;;;;;nem;;3323;Szarvaskő;Szarvaskő_00332;;;;17,728417404066654;19,080000001639128
63776;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;;;215;HUN_Szarvaskő_215;Tölgyfa utca;;;;;;Szarvaskő_021;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;;;;;;;;nem;;3323;Szarvaskő;Szarvaskő_00333;;;;30,822793918434886;52,779999979287382
63777;Magyarország;Szarvaskő;;;belterület;lakóépület;;;;37;;274;HUN_Szarvaskő_274;Rózsa utca;;;;L1;1,000000000000000;Szarvaskő_024;0,500000000000000;0,500000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,000000000000000;0,750000000000000;450,000000000000000;10,000000000000000;120,000000000000000;8,000000000000000;58,789999997839331;44,092499998379495;nem;;3323;Szarvaskő;Szarvaskő_00334;;;Szarvaskő, Rózsa utca 37;32,960234520853078;58,789999997839331
